Marketing and Sales,the Pattern of Marketing and Sales,linear,negative
Advertising spend ($),Bounce rate (%)
1000.0,48.66
11193.88,40.58
21387.76,37.33
31581.63,68.46
41775.51,31.67
51969.39,48.29
62163.27,37.98
72357.14,49.02
82551.02,49.19
92744.9,29.88
102938.78,30.7
113132.65,53.62
123326.53,53.55
133520.41,43.93
143714.29,45.56
153908.16,52.67
164102.04,34.18
174295.92,38.48
184489.8,63.78
194683.67,54.45
204877.55,80.0
215071.43,41.02
225265.31,45.99
235459.18,58.76
245653.06,44.49
255846.94,57.47
266040.82,42.6
276234.69,49.95
286428.57,32.45
296622.45,51.18
306816.33,56.91
317010.2,52.0
327204.08,38.86
337397.96,29.9
347591.84,53.83
357785.71,54.74
367979.59,52.33
378173.47,57.4
388367.35,39.6
398561.22,48.51
408755.1,43.69
418948.98,20.26
429142.86,42.01
439336.73,44.47
449530.61,37.13
459724.49,54.89
469918.37,39.08
480112.24,38.83
490306.12,38.55
500500.0,33.78
510693.88,33.77
520887.76,41.46
531081.63,55.31
541275.51,74.2
551469.39,23.55
561663.27,37.89
571857.14,34.53
582051.02,57.9
592244.9,31.14
602438.78,45.09
612632.65,49.99
622826.53,43.75
633020.41,34.42
643214.29,31.21
653408.16,36.28
663602.04,32.34
673795.92,42.95
683989.8,42.26
694183.67,38.93
704377.55,24.3
714571.43,60.48
724765.31,26.87
734959.18,32.55
745153.06,15.61
755346.94,52.6
765540.82,58.9
775734.69,35.41
785928.57,19.47
796122.45,41.18
806316.33,34.45
816510.2,10.0
826704.08,26.63
836897.96,48.64
847091.84,49.83
857285.71,55.12
867479.59,36.49
877673.47,32.56
887867.35,45.48
898061.22,18.54
908255.1,34.4
918448.98,28.25
928642.86,50.68
938836.73,30.84
949030.61,43.22
959224.49,38.58
969418.37,48.53
979612.24,39.92
989806.12,32.11
1000000.0,58.48
