Education and Academics,the Pattern of Education and Academics,exponential,none
Study hours (hours/week),Academic performance (score)
1.0,34.28
1.74,59.8
2.47,50.35
3.21,36.77
3.94,51.41
4.68,59.7
5.42,84.95
6.15,20.43
6.89,52.78
7.62,42.39
8.36,62.79
9.09,42.59
9.83,40.15
10.57,55.46
11.3,0.0
12.04,69.97
12.77,26.35
13.51,59.62
14.25,51.69
14.98,18.99
15.72,35.52
16.45,47.65
17.19,63.78
17.92,28.13
18.66,49.19
19.4,8.54
20.13,68.31
20.87,72.81
21.6,30.33
22.34,48.28
23.08,79.09
23.81,43.28
24.55,44.96
25.28,51.81
26.02,92.91
26.75,64.73
27.49,49.58
28.23,63.47
28.96,77.21
29.7,48.24
30.43,47.47
31.17,18.32
31.91,47.75
32.64,100.0
33.38,32.35
34.11,36.88
34.85,59.47
35.58,36.52
36.32,11.44
37.06,69.65
37.79,34.87
38.53,51.46
39.26,60.76
40.0,43.14
