Finance and Economics,the Comparison of Finance and Economics,u_shape,positive
GDP growth (%),Consumer spending ($)
-5.0,100000.0
-4.84,98151.34
-4.68,95153.71
-4.52,86215.8
-4.35,86694.65
-4.19,85528.79
-4.03,80100.86
-3.87,75150.12
-3.71,72870.11
-3.55,70915.29
-3.39,67831.88
-3.23,63803.23
-3.06,57343.15
-2.9,55309.72
-2.74,52768.47
-2.58,54114.19
-2.42,49423.26
-2.26,39628.84
-2.1,41869.49
-1.94,35144.21
-1.77,40487.21
-1.61,37882.07
-1.45,31321.82
-1.29,29437.81
-1.13,29137.3
-0.97,25584.87
-0.81,24555.58
-0.65,23166.95
-0.48,17898.31
-0.32,18160.98
-0.16,14968.96
-0.0,15797.15
0.16,14999.08
0.32,11865.09
0.48,9817.39
0.65,15403.91
0.81,11011.87
0.97,7124.54
1.13,4385.75
1.29,6187.05
1.45,10689.95
1.61,11196.6
1.77,8320.21
1.94,8841.45
2.1,1000.0
2.26,7740.03
2.42,7547.49
2.58,4923.09
2.74,5474.69
2.9,8970.3
3.06,7743.67
3.23,7115.75
3.39,9973.68
3.55,9009.58
3.71,9276.4
3.87,7789.66
4.03,13233.25
4.19,8902.23
4.35,11137.38
4.52,13978.69
4.68,13634.34
4.84,16607.9
5.0,16416.4
5.16,18527.75
5.32,18058.92
5.48,22712.68
5.65,26595.54
5.81,20144.39
5.97,25923.31
6.13,30664.29
6.29,28554.24
6.45,31815.0
6.61,37521.02
6.77,36502.95
6.94,41592.61
7.1,43273.42
7.26,46742.84
7.42,42440.8
7.58,49263.95
7.74,46004.74
7.9,56224.11
8.06,57828.15
8.23,60770.04
8.39,64728.15
8.55,69005.95
8.71,69802.45
8.87,74900.73
9.03,77838.86
9.19,82820.92
9.35,88946.67
9.52,90426.66
9.68,93159.5
9.84,92410.98
10.0,97568.55
