Finance and Economics,the Dynamics of Finance and Economics,exponential,negative
Unemployment rate (%),Business confidence (index)
2.0,95.72
2.2,96.92
2.4,100.0
2.59,82.95
2.79,85.96
2.99,78.54
3.19,77.07
3.38,84.17
3.58,87.7
3.78,62.52
3.98,64.58
4.18,61.48
4.37,58.92
4.57,45.32
4.77,51.02
4.97,45.62
5.16,34.03
5.36,47.55
5.56,46.87
5.76,50.58
5.96,44.69
6.15,45.97
6.35,29.87
6.55,39.12
6.75,23.02
6.95,32.28
7.14,21.78
7.34,36.83
7.54,46.39
7.74,35.95
7.93,35.35
8.13,39.74
8.33,30.72
8.53,23.32
8.73,23.5
8.92,32.15
9.12,19.37
9.32,27.64
9.52,6.61
9.71,25.72
9.91,28.33
10.11,33.45
10.31,39.57
10.51,7.92
10.7,21.35
10.9,28.59
11.1,24.17
11.3,28.83
11.49,30.2
11.69,24.83
11.89,16.84
12.09,15.01
12.29,12.8
12.48,12.54
12.68,25.25
12.88,13.91
13.08,17.22
13.27,14.45
13.47,19.8
13.67,17.57
13.87,13.73
14.07,18.23
14.26,8.48
14.46,20.12
14.66,20.15
14.86,15.2
15.05,17.06
15.25,27.57
15.45,31.37
15.65,34.91
15.85,21.04
16.04,18.74
16.24,11.66
16.44,32.36
16.64,12.08
16.84,29.05
17.03,16.34
17.23,15.26
17.43,14.97
17.63,8.09
17.82,18.02
18.02,19.86
18.22,24.09
18.42,18.56
18.62,14.71
18.81,20.21
19.01,0.0
19.21,11.02
19.41,28.51
19.6,29.15
19.8,26.61
20.0,11.91
