Social Media and Digital Media and Streaming,the Pattern of Social Media and Digital Media and Streaming,u_shape,positive
Content length (minutes),Engagement rate (%)
1.0,19.13
1.65,17.58
2.3,17.64
2.95,16.85
3.59,15.44
4.24,13.95
4.89,14.23
5.54,12.9
6.19,12.08
6.84,12.22
7.48,11.65
8.13,11.51
8.78,11.09
9.43,10.0
10.08,8.99
10.73,9.44
11.37,7.81
12.02,6.54
12.67,7.51
13.32,5.31
13.97,5.58
14.62,6.18
15.26,4.91
15.91,4.29
16.56,4.96
17.21,3.47
17.86,3.55
18.51,4.02
19.15,1.13
19.8,2.39
20.45,1.98
21.1,2.45
21.75,3.26
22.4,2.78
23.04,1.63
23.69,1.15
24.34,0.53
24.99,0.92
25.64,0.74
26.29,1.84
26.93,1.28
27.58,1.08
28.23,0.3
28.88,0.34
29.53,0.79
30.18,2.63
30.82,0.64
31.47,0.78
32.12,0.45
32.77,0.0
33.42,0.63
34.07,1.23
34.71,1.56
35.36,1.01
36.01,1.96
36.66,0.08
37.31,1.73
37.96,1.31
38.6,2.56
39.25,2.43
39.9,2.95
40.55,1.84
41.2,2.78
41.85,3.2
42.49,3.03
43.14,3.9
43.79,3.52
44.44,4.87
45.09,4.83
45.74,5.44
46.38,5.6
47.03,6.27
47.68,6.82
48.33,5.26
48.98,8.04
49.63,8.95
50.27,8.52
50.92,9.14
51.57,10.37
52.22,10.13
52.87,10.75
53.52,11.49
54.16,12.08
54.81,12.1
55.46,12.78
56.11,15.69
56.76,15.82
57.41,14.6
58.05,15.98
58.7,16.66
59.35,19.54
60.0,20.0
