Finance and Economics,the Interaction of Finance and Economics,exponential,negative
Interest rate (%),Investment rate (%)
0.1,46.69
0.24,50.0
0.39,46.89
0.53,43.46
0.67,41.75
0.82,35.16
0.96,34.54
1.1,36.53
1.25,26.27
1.39,33.48
1.53,24.97
1.68,22.38
1.82,19.89
1.97,23.71
2.11,17.91
2.25,24.52
2.4,24.81
2.54,27.77
2.68,18.2
2.83,16.18
2.97,11.82
3.11,15.56
3.26,17.36
3.4,16.18
3.54,13.53
3.69,13.85
3.83,17.7
3.97,10.13
4.12,7.57
4.26,18.68
4.4,6.25
4.55,15.04
4.69,22.6
4.83,8.09
4.98,17.73
5.12,18.74
5.27,15.22
5.41,17.78
5.55,11.58
5.7,19.65
5.84,15.01
5.98,21.59
6.13,16.0
6.27,13.29
6.41,8.11
6.56,17.44
6.7,17.63
6.84,12.65
6.99,13.1
7.13,12.15
7.27,10.31
7.42,14.18
7.56,11.64
7.7,17.11
7.85,14.77
7.99,10.67
8.13,7.48
8.28,8.06
8.42,15.3
8.57,6.9
8.71,14.2
8.85,9.35
9.0,16.08
9.14,5.0
9.28,13.67
9.43,15.69
9.57,15.84
9.71,11.59
9.86,15.42
10.0,10.87
