Education and Academics,the Distribution of Education and Academics,linear,none
Study hours (hours/week),Literacy rate (%)
1.0,70.0
2.11,100.0
3.23,71.65
4.34,98.38
5.46,90.32
6.57,82.15
7.69,85.15
8.8,77.13
9.91,99.19
11.03,75.7
12.14,87.38
13.26,92.54
14.37,89.7
15.49,72.75
16.6,72.92
17.71,87.06
18.83,87.76
19.94,78.86
21.06,82.16
22.17,79.9
23.29,85.17
24.4,83.19
25.51,87.44
26.63,89.32
27.74,85.85
28.86,81.84
29.97,95.48
31.09,77.32
32.2,85.02
33.31,89.38
34.43,92.45
35.54,91.06
36.66,79.86
37.77,82.99
38.89,84.72
40.0,84.42
