Sports and Fitness,the Influence of Sports and Fitness,linear,none
Athlete age (years),Recovery time_Sports (days)
15.0,6.5
15.35,5.64
15.7,3.49
16.06,5.05
16.41,6.0
16.76,3.38
17.11,4.04
17.46,3.68
17.82,4.88
18.17,5.13
18.52,4.84
18.87,3.95
19.23,3.93
19.58,3.95
19.93,4.71
20.28,3.51
20.63,4.96
20.99,5.18
21.34,0.78
21.69,2.07
22.04,4.87
22.39,5.67
22.75,5.3
23.1,3.75
23.45,4.55
23.8,5.61
24.15,2.74
24.51,3.12
24.86,2.83
25.21,4.95
25.56,4.41
25.92,4.5
26.27,4.68
26.62,4.5
26.97,3.28
27.32,4.36
27.68,3.01
28.03,4.51
28.38,3.46
28.73,5.01
29.08,4.76
29.44,4.93
29.79,2.93
30.14,7.0
30.49,1.64
30.85,4.73
31.2,4.2
31.55,2.93
31.9,2.96
32.25,4.8
32.61,3.7
32.96,3.98
33.31,6.16
33.66,0.5
34.01,1.1
34.37,4.7
34.72,5.25
35.07,5.27
35.42,3.89
35.77,2.19
36.13,5.01
36.48,4.93
36.83,3.65
37.18,1.99
37.54,4.53
37.89,1.78
38.24,1.53
38.59,5.15
38.94,1.65
39.3,2.47
39.65,4.66
40.0,2.47
