Science and Engineering,the Correlation of Science and Engineering,Normal
Innovation score (score),Commercial success value ($),Total project budget ($)
1.84,57863628.56,2658867.44
3.76,96509290.91,1566323.75
4.7,44165149.14,50000.0
2.87,19662878.04,1143915.75
7.1,22286401.27,3416145.95
6.28,26910780.3,836393.42
2.95,82248082.04,5000000.0
7.0,33637626.92,1811552.83
2.49,46604210.05,2416556.19
1.0,81527648.9,473869.04
9.45,15761215.83,2697738.21
9.21,21499499.78,2362080.88
7.92,86787661.28,2992798.75
3.14,34357769.99,4502070.96
