Sports and Entertainment,the Dynamics of Sports and Entertainment,Linear
Player salary ($),Win rate (%),Number of people attending the game (attendees)
49042801.39,17.22,1000.0
15264218.37,79.23,8071.43
12624336.21,1.35,15142.86
22721914.41,97.81,22214.29
301749.0,2.81,29285.71
45319122.07,71.94,36357.14
289878.85,93.37,43428.57
23657361.06,23.23,50500.0
38441916.51,59.42,57571.43
31774304.46,59.83,64642.86
42433265.14,17.32,71714.29
36726238.24,44.73,78785.71
27904834.41,48.73,85857.14
19538118.69,48.94,92928.57
38750836.78,48.42,100000.0
