Business and Finance,the Distribution of Business and Finance,Long Tail
Investment amount ($),ROI (%),Size of the customer base (count)
148101.5,174.24,31333.71
1000.0,39.6,749680.63
1004923.79,280.16,100.0
493095.82,380.64,46253.62
925193.86,66.88,7396.71
847100.28,202.26,41300.63
487718.83,344.98,10399.74
395235.5,194.89,645118.21
523934.59,450.7,161540.88
1000.0,272.26,62355.55
824862.97,138.65,38403.94
72606.4,342.1,99395.46
143499.31,479.3,9769.65
458356.49,312.22,1000000.0
879121.16,332.72,99333.07
