Cultural Trends and Influences,the Dynamics of Cultural Trends and Influences,Random
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
21.74,30840461.43,65185.95
34.64,866934579.68,84984.67
41.02,860414146.38,67026.22
32.9,1049999500.0,100000.0
54.2,241628291.01,1273.27
100.51,828224756.77,100.0
81.81,805894289.52,84011.38
21.09,101997282.86,5077.39
6.83,452718156.83,28143.23
62.89,620966561.74,81699.3
17.8,283523186.89,31206.0
73.04,393822352.9,94409.92
1.0,101751066.57,91688.98
