Science and Engineering,the Relationship of Science and Engineering,Random
Innovation score (score),Commercial success value ($),Total project budget ($)
7.4,21576550.23,4022505.84
3.06,56186912.06,50000.0
1.45,53370282.81,1140975.98
7.53,22701269.88,218359.87
2.43,54368716.37,543250.91
6.76,2457231.8,2026109.81
1.0,68043833.97,4700210.4
5.95,89168409.54,3867083.8
8.89,6584735.06,5000000.0
8.5,88214373.86,2481710.25
2.97,10000.0,1297503.62
9.54,22620288.24,2378034.16
1.0,48760036.53,1465532.67
2.86,58931809.4,2279747.23
6.7,15999646.3,1835298.65
