Business and Finance,the Interaction of Business and Finance,Normal
Company revenue ($),Profit margin (%),Total number of employees (count)
438832979.55,10.73,10000.0
69953735.26,7.68,10000.0
679361384.88,46.67,10000.0
864890163.44,51.27,10000.0
700615093.5,23.87,10000.0
669057019.36,37.2,10000.0
56443850.3,7.42,10000.0
50917870.11,45.94,10000.0
563809344.45,53.45,10.0
16075218.19,48.07,10000.0
970799928.91,39.68,10000.0
785080870.39,25.3,10000.0
1000000.0,21.4,10000.0
340431884.79,58.31,10000.0
1000000.0,10.48,10000.0
