Sports and Entertainment,the Pattern of Sports and Entertainment,Linear
Sponsorship amount ($),Revenue ($),Number of viewers (count)
2502491.37,542202104.89,10000.0
7498266.63,482453025.56,778461.54
9003469.6,443120937.65,1546923.08
1434399.2,361405577.81,2315384.62
7008313.21,1049950000.0,3083846.15
7015413.54,841400311.83,3852307.69
4482226.18,487681979.8,4620769.23
1292913.55,784877955.26,5389230.77
1817944.67,43871944.18,6157692.31
10077214.58,40827195.12,6926153.85
8784478.79,481618597.25,7694615.38
9447255.56,123697765.66,8463076.92
5268908.88,490213081.76,9231538.46
2118480.49,664432516.7,10000000.0
