Cultural Trends and Influences,the Correlation of Cultural Trends and Influences,Normal
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
101.52,962112911.03,100000.0
22.31,478922403.07,100000.0
65.18,40493870.45,100.0
84.83,950087678.63,100000.0
80.45,1049999500.0,100000.0
21.79,712524212.87,100000.0
66.95,122919501.36,100000.0
30.05,169017973.79,100000.0
79.42,653259346.44,100000.0
78.94,196891216.22,100000.0
69.13,123444764.8,100000.0
5.0,10000.0,100000.0
88.5,996677656.68,100000.0
