Cultural Trends and Influences,the Dynamics of Cultural Trends and Influences,Long Tail
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
5.3,258200651.61,22129.57
19.61,814260384.61,74092.55
16.06,399782426.11,36313.88
87.04,666610041.86,629.09
12.22,268203282.87,10447.09
72.83,443987125.88,61670.04
51.35,777052042.66,2908.55
39.96,623772975.44,100.0
84.81,591469756.82,10996.9
22.64,711909030.94,5777.57
36.96,429154058.49,2480.73
59.93,39688814.89,4151.66
1.0,957555969.54,100000.0
60.4,247521359.05,1902.78
42.73,703609825.28,66820.92
