Cultural Trends and Influences,the Dynamics of Cultural Trends and Influences,Random
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
77.81,853815802.41,47423.61
101.27,725180798.32,84038.9
49.35,126285952.62,74997.29
6.0,459247181.31,63344.04
50.53,556604781.83,51916.3
98.47,280376600.24,84660.67
93.58,397549401.55,49362.95
76.71,789673957.69,100.0
98.34,136432423.75,94063.19
31.57,340577056.69,50768.91
9.54,627031428.6,100000.0
27.32,935551434.61,65617.7
