Cultural Trends and Influences,the Distribution of Cultural Trends and Influences,Normal
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
15.52,966602216.49,100000.0
65.55,887922631.0,100000.0
31.58,633282184.42,100000.0
95.71,644353161.86,100000.0
42.76,642542405.63,100000.0
44.26,846701104.34,100000.0
96.44,243436288.61,100000.0
3.13,381529750.55,100000.0
8.07,811552114.1,100000.0
92.67,991809308.36,100.0
16.53,868800416.62,100000.0
18.22,3055453.02,100000.0
4.91,56577797.85,100000.0
65.12,47917586.57,100000.0
