Cultural Trends and Influences,the Overview of Cultural Trends and Influences,Normal
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
1.0,549325343.33,27073.54
26.73,990006024.44,55861.0
24.27,161914859.1,8276.07
4.39,752033956.29,52100.04
3.96,768549738.64,41902.24
20.44,458823178.1,56043.15
45.7,48837437.56,7640.16
18.48,36362548.98,62652.59
42.53,902952092.75,19567.41
59.91,639340863.09,67254.77
94.84,330651270.79,78647.02
54.91,66722337.88,100000.0
93.5,429220744.66,100.0
