Cultural Trends and Influences,the Influence of Cultural Trends and Influences,Linear
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
92.76,274622925.7,100.0
68.96,54608549.3,8425.0
100.25,35270771.6,16750.0
20.74,175794693.21,25075.0
79.14,29991102.7,33400.0
81.31,205547951.72,41725.0
42.59,919510734.96,50050.0
86.6,678515027.36,58375.0
31.12,618400705.27,66700.0
25.72,516522669.41,75025.0
40.17,682035364.8,83350.0
12.88,734775850.77,91675.0
34.62,800417974.47,100000.0
