Cultural Trends and Influences,the Distribution of Cultural Trends and Influences,Random
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
56.25,883128360.58,4074.19
70.51,760249923.61,9013.6
8.28,773533007.46,34563.64
10.31,246622553.16,34453.0
63.04,310211241.41,100000.0
62.41,461990223.51,3017.83
13.36,766840267.63,72981.19
39.04,750020689.91,9884.39
54.05,337814921.75,100.0
31.14,301077715.59,54031.31
87.74,835957183.54,78944.58
33.29,268076696.26,38468.04
68.31,637948410.67,55583.03
80.52,86626687.24,11236.42
98.23,503848593.06,26211.39
