Energy and Utilities,the Correlation of Energy and Utilities,Random
Production capacity (MW),Efficiency score (%),Total number of utility customers (count)
450832.35,79.8,917727.51
846054.04,83.41,16462.08
187367.53,86.51,1000.0
116321.07,75.23,829453.67
472994.97,77.61,400323.99
986149.79,75.93,917883.26
28427.57,86.48,276772.75
73190.1,62.3,133562.11
514833.52,60.05,311744.53
716161.55,72.7,157027.36
490368.85,60.99,357675.96
610044.82,50.51,629902.48
116662.64,75.21,1000000.0
127975.6,50.3,972476.33
621952.21,71.3,714768.09
