Real Estate and Housing Market,Housing Market Distribution by Category (2022),%
parent,child,value
Root,Commercial Real Estate,33.81
Commercial Real Estate,Office Buildings,5.02
Commercial Real Estate,Retail Spaces,28.79
Retail Spaces,Street-Level Shops,7.62
Retail Spaces,Shopping Centers,21.16
Root,Rental Market,38.42
Rental Market,Long-Term Rentals,31.85
Long-Term Rentals,Apartments,10.2
Long-Term Rentals,Houses for Rent,21.65
Rental Market,Short-Term Rentals,6.58
Root,Residential Property,27.77
Residential Property,Multi-Family Homes,19.07
Multi-Family Homes,Duplex,12.6
Multi-Family Homes,Apartments,6.47
Residential Property,Single Family Homes,8.7
