Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Development,33.81
Employee Development,Training Programs,19.88
Training Programs,Skill Workshops,11.21
Training Programs,Online Learning,8.67
Employee Development,Performance Management,13.92
Performance Management,Goal Setting,7.77
Performance Management,Feedback,6.15
Root,Workplace Wellbeing,38.42
Workplace Wellbeing,Health & Safety,21.81
Health & Safety,Emergency Response,8.08
Health & Safety,Ergonomics,13.72
Workplace Wellbeing,Work-Life Balance,16.62
Work-Life Balance,Flexible Scheduling,8.08
Work-Life Balance,Employee Assistance,8.54
Root,Employee Lifecycle,27.77
Employee Lifecycle,Recruitment,20.76
Recruitment,Job Posting,5.12
Recruitment,Candidate Evaluation,15.64
Employee Lifecycle,Onboarding,7.01
