Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
Root,Creative Expression,33.81
Creative Expression,Visual Arts,6.17
Creative Expression,Performing Arts,27.64
Performing Arts,Dance,15.56
Performing Arts,Theatre,12.08
Root,Digital Culture,38.42
Digital Culture,Streaming Culture,7.62
Digital Culture,Online Exhibitions,30.8
Online Exhibitions,Virtual Museums,25.65
Online Exhibitions,NFT Artworks,5.15
Root,Cultural Participation,27.77
Cultural Participation,Art Festivals,10.71
Art Festivals,International Events,5.1
Art Festivals,Local Festivals,5.61
Cultural Participation,Heritage Engagement,17.06
Heritage Engagement,Museum Visits,7.83
Heritage Engagement,Site Tours,9.24
