Sports and Entertainment,Sports Distribution by Category (2021),%
parent,child,value
Root,Fitness and Wellness,33.81
Fitness and Wellness,Outdoor Activities,21.43
Outdoor Activities,Running Clubs,8.75
Outdoor Activities,Cycling Groups,12.68
Fitness and Wellness,Personal Training,12.38
Personal Training,Yoga and Meditation,6.32
Personal Training,Gym Workouts,6.06
Root,Sports Media and Tech,38.42
Sports Media and Tech,Sports Technology,15.64
Sports Technology,Wearables,9.88
Sports Technology,Analytics Tools,5.77
Sports Media and Tech,Live Broadcasting,22.78
Live Broadcasting,Online Streaming,16.64
Live Broadcasting,Television Coverage,6.13
Root,Competitive Sports,27.77
Competitive Sports,Team Sports,18.29
Team Sports,Volleyball,6.47
Team Sports,Football,5.08
Team Sports,Basketball,6.74
Competitive Sports,Individual Sports,9.48
