Sports and Entertainment,Streaming Views,views/month
trend,stable_rising,exponential_falling,exponential_rising,volatile_falling,stable_rising,stable_falling
Year,NovaStream Live,AetherNet Sports,Luminara Play,EchoWave Entertainment,CrimsonCast,StarburstTV
1967,201290.77,194327.07,190200.03,213515.55,192705.57,191620.26
1968,232520.49,179102.55,247901.7,172553.02,217336.84,175801.41
1969,235777.97,159901.79,231067.01,115150.67,219068.2,178419.56
1970,224842.19,149119.39,285033.22,165200.11,225497.19,175801.63
1971,239093.33,132425.07,291402.2,147102.06,239356.67,188833.34
1972,267161.25,119775.17,304227.86,102672.09,279194.31,161736.5
1973,250562.03,87642.26,373416.38,170493.34,250656.42,171186.05
1974,278181.9,95493.4,384367.46,106297.72,271972.68,178565.84
1975,274720.12,62224.82,416593.29,120099.72,259042.67,138552.26
1976,287103.36,105337.73,472942.05,112005.93,294835.41,138867.16
1977,308304.34,73258.35,504313.85,68025.39,290768.1,131528.37
1978,330879.91,55280.82,560095.85,53979.24,304391.92,132408.12
1979,300165.78,31916.17,624016.68,55518.87,321254.47,123605.64
1980,317391.02,55282.19,681610.98,37817.95,323571.72,108026.78
1981,343609.42,17522.76,760036.59,49962.05,346280.55,106825.5
1982,364532.91,51928.66,828590.76,24027.0,361855.03,87916.7
1983,358102.1,30401.22,928016.0,38382.96,342377.65,113700.89
1984,367995.81,38912.54,1013250.17,8958.12,367552.54,83005.35
1985,397968.6,18568.13,1131038.28,2000.0,386577.78,73463.25
1986,390770.75,29568.55,1246217.77,2000.0,391576.37,60071.76
1987,395145.83,12181.72,1341068.22,2000.0,380795.88,87574.85
1988,424151.14,26496.64,1490413.76,2000.0,412674.35,74723.41
1989,416205.59,11589.4,1632219.95,2000.0,421628.24,61606.81
1990,439488.43,17406.19,1812431.81,2000.0,423806.43,60574.0
1991,426919.69,37010.87,1986958.55,2000.0,447086.25,53196.13
1992,453646.63,9650.56,2172702.3,2000.0,451321.47,59539.41
1993,467100.01,25953.15,2386843.75,2000.0,475244.88,41809.06
1994,467590.69,12965.78,2631368.69,2000.0,488840.63,45691.61
1995,470097.85,9589.72,2905617.85,2000.0,485399.84,44200.02
