Business and Finance,Operating Expenses,$
trend,volatile_rising,volatile_falling,volatile_falling,volatile_rising,exponential_falling,volatile_falling,stable_falling
Year,Vanguard Dynamics,Aegis Corp,Horizon Enterprises,Ironclad Ventures,NovaTech Solutions,Starlight Innovations,Apex Systems
1964,4963359.52,4835133.91,4804188.27,5492205.48,5018900.61,4967799.38,5165974.06
1965,5367454.91,4580946.93,4712425.82,5300082.52,4669299.98,4946189.07,4877575.37
1966,5977423.54,4052666.33,4417815.93,5808535.0,4279377.77,4479700.13,4567166.46
1967,6046535.02,4091424.23,4250835.42,6351106.06,3758902.28,4042515.45,4316714.01
1968,5997214.04,4247850.21,3786043.44,6995211.79,3307666.95,3814569.03,4476801.06
1969,6561652.32,3210991.56,3280327.18,7356196.35,3107250.88,3029496.69,4070276.64
1970,7103518.47,2975217.48,2818638.16,7685674.12,2687377.65,3004377.04,4075707.04
1971,7772044.8,2777610.63,3037972.29,7531885.52,2323414.42,2898754.54,3941051.45
1972,8265998.55,2151560.65,2661689.72,8148604.82,2339763.87,2531766.25,3594817.12
1973,8570248.76,2246324.86,2466822.54,8835729.17,2006432.13,2325043.33,3703470.71
1974,8833657.2,1878303.83,2562682.15,8924015.11,1687704.75,2086051.26,3377720.1
1975,9187894.16,1745947.59,1672522.22,9648279.11,1536080.98,1699967.75,3380971.54
1976,9944298.19,1402367.38,1379797.57,9850483.01,1462711.73,1283881.85,3272778.8
1977,10253098.5,1515560.35,1041813.91,9923335.37,1293314.27,983974.79,3173640.01
1978,10447872.9,553711.08,991946.11,10180326.53,1311782.47,1168337.8,2972912.4
1979,11282080.78,739704.01,419473.57,10548194.85,1122401.87,752684.78,2548849.38
1980,11444637.78,103873.58,178802.68,11224119.26,881025.27,241720.83,2747504.7
1981,12081080.79,50000.0,50000.0,11920144.51,991789.23,50000.0,2727000.18
1982,11662186.48,50000.0,50000.0,12121884.77,801660.02,50000.0,2371492.85
1983,12528358.59,50000.0,50000.0,12517181.74,842409.95,50000.0,2157711.84
1984,12734673.45,50000.0,50000.0,12924874.43,702908.97,50000.0,2026630.99
1985,13495600.0,50000.0,50000.0,13425716.0,485655.73,50000.0,1645771.69
1986,13604672.94,50000.0,50000.0,14045904.97,568135.83,50000.0,1727241.15
1987,14483329.97,50000.0,50000.0,14321098.91,396773.33,50000.0,1345827.89
1988,14353223.05,50000.0,50000.0,14421492.7,654492.68,50000.0,1548191.63
1989,14638656.24,50000.0,50000.0,14820810.77,398753.36,50000.0,1298727.99
1990,15602784.88,50000.0,50000.0,15434453.99,435710.7,50000.0,1345256.83
1991,15864909.76,50000.0,50000.0,15426971.08,223912.66,50000.0,1129156.08
1992,15834588.07,50000.0,50000.0,16116163.06,499111.62,50000.0,635305.07
