Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,exponential_falling,stable_rising,exponential_falling
Year,NovaStream,Starburst Online,OracleFeed
1951,202334514.52,181529651.5,207184098.64
1952,166534436.13,201333976.42,145018631.04
1953,129266640.92,218736920.0,174125526.37
1954,132887911.38,240738094.93,141679525.34
1955,117689676.84,232540082.9,133563381.89
1956,130046759.99,261283833.1,138033679.44
1957,94240078.66,265204453.14,115922841.13
1958,104153463.22,266439516.44,78478075.97
1959,80233904.59,273206445.61,75232241.65
1960,69525490.77,292382240.14,65775751.98
1961,89563346.88,317291634.81,70361321.57
1962,53008101.89,317010765.49,51139540.83
1963,49047789.27,327759711.71,40546414.88
1964,63746115.98,339417121.88,36658569.47
1965,27437597.77,339551217.1,55668363.3
1966,31072524.74,326522313.91,46368882.43
1967,36223510.08,352175459.64,45893532.47
1968,60895369.98,376646164.15,32327057.5
1969,20279303.19,396074979.16,29112196.62
1970,48062331.42,379108037.36,31850586.68
1971,26663553.97,406662739.97,9545012.56
1972,36252056.37,416772528.88,17617069.89
1973,8529000.2,421800352.96,13902558.73
1974,16763194.16,428572598.52,9000671.88
