Real Estate and Housing Market,Construction Starts,units/year
trend,volatile_falling,periodic_stable,stable_rising,volatile_falling
Year,Shadowfen,Golden Delta,Veridian Plains,Crimson Peaks
1998,475.69,498.06,499.57,525.83
1999,474.22,622.99,523.98,474.08
2000,448.64,556.86,562.66,401.12
2001,385.57,433.31,581.78,365.29
2002,364.14,371.65,599.63,403.31
2003,365.94,491.61,626.91,303.7
2004,343.07,623.52,642.88,301.92
2005,256.58,576.69,679.53,289.78
2006,275.61,428.74,687.86,280.77
2007,231.86,363.44,723.1,234.6
2008,203.51,514.86,734.38,173.36
2009,152.92,605.59,785.52,201.86
2010,116.49,566.15,809.48,100.92
2011,136.87,427.6,806.95,104.77
2012,78.12,380.83,833.03,73.79
2013,61.02,506.65,883.47,41.82
2014,12.19,621.83,907.64,5.64
2015,5.0,571.04,929.86,6.07
2016,5.0,432.3,939.91,5.0
2017,5.0,375.16,967.93,5.0
2018,5.0,526.06,1008.98,5.0
2019,5.0,611.32,1018.9,5.0
2020,5.0,583.28,1060.68,5.0
2021,5.0,438.35,1068.68,5.0
