Agriculture and Food Production,Crop Yield,tons/hectare
trend,stable_falling,exponential_rising,stable_rising
Year,Ironwood Ranch,Sunstone Farms,Whispering Willows Estate
2000,99101.38,96580.16,98806.44
2001,94785.46,113224.2,106411.79
2002,93162.13,118617.46,107176.14
2003,87181.1,134560.69,115293.92
2004,87589.72,148336.2,123422.43
2005,85393.05,160054.66,121262.76
2006,83257.96,178600.46,130149.11
2007,77476.19,199333.95,135092.2
2008,75066.27,211169.65,139638.52
2009,75475.99,237353.24,146183.58
2010,74139.39,260578.5,147822.72
2011,68821.38,285182.04,156224.59
2012,62294.97,314058.14,161919.1
2013,60756.47,347046.93,166490.71
2014,58807.94,373258.64,167576.95
2015,53925.72,416255.53,171095.12
2016,48966.32,457748.84,180026.31
