Energy and Utilities,Electricity Demand,MWh
trend,volatile_rising,volatile_rising,exponential_falling
Year,Azure Energy Distribution,Zenith Utility Services,Meridian Energy Network
1957,1013918839.64,1030971940.8,1005756788.01
1958,1069292742.9,1075265001.85,886282262.48
1959,1149584937.53,1129149688.9,814481368.84
1960,1278173632.62,1236631149.85,730451976.01
1961,1301706548.22,1323874996.03,652843039.98
1962,1374315722.07,1402776623.29,576827250.16
1963,1468366170.61,1473272115.08,540262466.5
1964,1602250322.31,1599540275.97,438621931.47
1965,1632087100.48,1657404545.58,434885750.0
1966,1692964393.47,1708258288.56,384125352.59
1967,1788042064.5,1779623884.92,318656742.6
1968,1886893313.89,1868860528.89,316937444.87
1969,2013055441.13,1943102727.89,277603860.47
1970,2007015175.02,2016921249.87,244705109.65
1971,2102056085.2,2152587727.37,236859471.59
1972,2228765888.37,2220793201.42,208798306.84
1973,2242136479.78,2249053233.51,168758155.01
1974,2363881306.18,2365181200.22,160624323.97
1975,2461060616.57,2449113402.45,138045332.22
1976,2504849676.58,2538826255.61,134340716.0
1977,2597914987.81,2632797071.8,122733946.58
1978,2619097941.72,2669618737.6,108326515.33
1979,2791574931.83,2706470451.77,112039721.77
1980,2798780509.12,2857047364.76,86661934.39
1981,2930440895.45,2913873162.54,105096751.78
1982,2995321758.06,3006168232.4,60119579.74
1983,3095129531.44,3097331109.11,69641294.16
1984,3108428700.22,3189812674.94,75406162.58
