Social Media and Digital Media and Streaming,Daily Active Users,users
trend,volatile_falling,volatile_falling
Year,NovaStream,OracleFeed
1960,1159569313.2,1040224008.91
1961,938733072.91,785255102.92
1962,690357564.82,1035739820.98
1963,867376043.01,832650439.1
1964,739927835.58,786979558.14
1965,617430925.44,515156876.75
1966,785652796.86,439780208.21
1967,768848994.12,428803240.47
1968,218927663.08,478120661.9
1969,532322240.6,413162076.43
1970,343622262.72,389994615.95
1971,295314233.25,93456188.54
1972,68200407.31,475073130.69
1973,89494943.72,75471622.07
1974,401325409.5,159549725.79
1975,56139195.47,134296970.75
1976,33806182.68,10000000.0
1977,10000000.0,10000000.0
1978,10000000.0,18096236.17
1979,10000000.0,10000000.0
1980,10000000.0,10000000.0
1981,10000000.0,10000000.0
1982,10000000.0,10000000.0
1983,10000000.0,10000000.0
1984,10000000.0,10000000.0
