Energy and Utilities,Electricity Demand,MWh
trend,stable_rising,periodic_stable,exponential_falling
Year,Borealis Electric Cooperative,Azure Energy Distribution,Aethelgard Power Grid
1981,987136120.79,991210639.79,990672610.54
1982,1067725513.45,1221977873.92,927737328.6
1983,1109875974.5,1149652262.42,794666988.52
1984,1138582090.91,854024610.62,735894922.85
1985,1225326421.13,754775752.94,671749307.87
1986,1236693004.48,1003058518.72,568570205.49
1987,1280073131.08,1231995070.79,562329642.32
1988,1342762670.44,1134332066.88,491889898.55
1989,1395833417.63,839687925.62,453753964.72
1990,1424271704.17,763809776.36,414453686.2
1991,1513208099.52,994257524.6,336544223.95
1992,1557310024.9,1252022851.8,331116400.83
1993,1587095069.35,1171484216.73,267594849.79
1994,1640589054.59,857621455.49,273284508.24
1995,1687403997.8,746705618.0,222337221.39
1996,1745830137.5,1001252014.12,209491644.34
1997,1803151684.41,1236922996.49,168915419.87
1998,1838960124.9,1154012889.75,149454604.01
1999,1900435823.08,852374642.71,156679904.62
2000,1960568347.64,771679425.64,129848463.94
