Cultural Trends and Influences,Music Festival Attendance,attendees
trend,exponential_falling,periodic_stable,periodic_stable
Year,Zenith Rhythm Fest,Terra Tempo Festival,Azure Sky Symphony
1959,95115.54,93320.37,92032.52
1960,95554.6,122230.98,133805.95
1961,78270.95,109396.21,111692.28
1962,68527.24,83879.65,76570.94
1963,64349.66,69689.92,76422.83
1964,54620.41,94947.77,110147.94
1965,48609.56,125428.13,127868.84
1966,45930.16,108305.31,108778.29
1967,47492.06,87986.81,81824.01
1968,39101.12,76807.33,75677.24
1969,32727.02,104284.25,96112.45
1970,34148.81,135373.72,120361.03
1971,16084.71,120796.69,110755.9
1972,23477.82,89067.26,83406.27
1973,22951.63,73568.02,73355.31
1974,20422.54,101754.69,104683.52
1975,21870.58,124913.39,120684.62
1976,5995.82,116747.63,115078.47
1977,10861.22,86328.63,91432.51
1978,20897.16,70241.48,73657.05
1979,10696.8,99069.37,101936.65
1980,4597.09,116701.63,123831.32
1981,7447.66,118938.97,112731.58
1982,2615.45,90711.83,85350.99
1983,14540.53,72525.39,73236.34
1984,5517.49,104120.64,95878.12
