Energy and Utilities,Carbon Emissions,tons
trend,stable_rising,stable_rising,exponential_falling,volatile_rising,exponential_falling,exponential_rising,stable_rising
Year,TerraGen Power,Borealis Renewables,Meridian Gas & Electric,AquaFlow Utilities,Zephyr Waste Solutions,Stellar Grid Solutions,Solara Energy Corp
1950,5095936.71,5097138.12,4981361.5,5230055.19,5074285.78,5100055.06,5060002.03
1951,5275080.48,5081209.09,4499836.19,5263662.85,4620598.56,5555133.0,5178630.81
1952,5351862.96,5501445.13,4199846.16,6228481.28,4207696.04,6150363.63,5480451.85
1953,5909814.29,5825319.85,3577909.95,5943011.79,3799284.98,6668029.77,5703261.6
1954,6036441.9,5867849.34,3194777.12,6577479.39,3331985.15,7195834.74,5908989.87
1955,6002507.9,6193058.74,2740782.49,7043262.39,3053403.87,8009979.15,6070983.07
1956,6596138.39,6420576.46,2680565.04,7342455.36,2754611.99,9047290.68,6440799.24
1957,6900685.64,6779984.59,2373354.22,7726075.15,2341242.58,9748715.63,6847324.83
1958,6909177.23,7008967.5,2157118.15,8487375.27,2068339.23,10774354.85,7141502.7
1959,7110738.71,7242390.15,1918239.72,8756740.63,2076378.45,11604234.24,7148545.24
1960,7553536.98,7494107.75,1859930.78,8449773.86,1813205.9,12790538.09,7560253.38
1961,7857738.68,7764063.15,1595895.61,9802806.89,1476080.73,14178147.68,7814124.4
1962,8018892.07,7939970.11,1501194.52,9394246.25,1473039.67,15636242.48,7931533.13
1963,8229317.37,8268396.16,1437034.11,10113229.02,1196195.14,17358915.47,8482774.39
1964,8422502.73,8434611.62,1052133.24,10660305.94,1188283.16,19012088.79,8510491.83
1965,8699417.8,8937887.19,1246119.33,10833041.99,1063099.96,20864560.03,8767498.3
1966,9087974.3,9018728.1,800336.98,11926644.09,802350.55,22988083.15,9246116.8
