Tourism and Hospitality,Loyalty Program Members,members
trend,exponential_rising,stable_falling,exponential_rising,stable_rising,volatile_rising,volatile_falling
Year,Global Travelers Club,Hotel Rewards,Foodie Passport,Family Vacationers,Frequent Flyers,Business Nomads
1998,1013002.96,931021.89,973978.34,1064066.43,961018.5,1088764.17
1999,1070200.3,1029506.31,1094298.94,1120205.43,1131289.86,920969.35
2000,1298196.81,959910.58,1147976.45,1056832.16,1205735.04,696026.87
2001,1389317.38,810024.12,1324925.33,1096524.35,1103367.56,678979.95
2002,1519857.96,807598.36,1443044.15,1239487.95,1476707.28,795698.3
2003,1586593.98,915552.01,1652890.04,1251604.32,1210803.33,787622.65
2004,1815787.37,830242.62,1829366.77,1282574.54,1439429.57,731810.71
2005,1905250.67,730538.54,1999005.74,1271143.42,1768565.73,481332.95
2006,2126838.88,822062.95,2170875.22,1393957.48,1540204.28,479174.48
2007,2369909.56,764269.66,2319711.35,1321145.44,1749108.81,523019.82
2008,2608030.04,689337.38,2559931.75,1546992.46,1837577.44,282492.33
2009,2850612.87,633037.29,2912260.38,1642519.46,1583994.05,378846.01
2010,3165077.51,662177.66,2988372.59,1560625.14,2089473.04,337345.46
2011,3427659.49,527719.62,3394671.55,1672019.46,1997005.5,374922.79
2012,3710701.72,578385.06,3789198.81,1750820.83,2031574.58,191407.85
2013,4235289.51,548580.96,4207005.16,1739383.86,2237062.25,10000.0
2014,4582229.67,605187.34,4628317.26,1835814.19,2369627.98,170978.79
2015,5028111.67,380151.72,5113723.9,1876495.74,2116064.35,10000.0
2016,5463114.66,393711.42,5544493.09,1945094.33,2514283.54,150421.8
2017,6139827.48,381200.71,6110280.22,1979853.86,2680726.36,26677.95
2018,6782567.96,464308.08,6759282.36,1925979.04,2576764.48,10000.0
2019,7369230.88,400339.37,7473593.29,1959921.85,2652422.59,10000.0
2020,8156681.19,398386.72,8234074.25,2102189.2,2719837.34,10000.0
