Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,periodic_stable,periodic_stable,periodic_stable
Year,Street Food Hubs,Vegan Cafes,Fusion Kitchens
1962,952.69,1053.21,1005.61
1963,1329.75,1292.22,1182.46
1964,1029.36,1054.08,980.41
1965,823.05,871.35,886.22
1966,711.38,767.01,896.62
1967,915.56,963.84,1014.47
1968,1195.44,1135.18,1141.97
1969,1149.96,1008.31,1159.55
1970,895.26,947.54,791.9
1971,812.65,856.62,654.84
1972,984.77,946.71,1030.06
1973,1126.84,1215.17,1285.8
1974,1020.12,1231.44,1200.76
1975,838.56,805.52,742.45
1976,833.54,724.49,760.92
1977,914.58,1063.41,1086.74
1978,1232.73,1096.62,1199.92
1979,1072.38,1114.47,1178.52
1980,907.8,994.79,766.01
1981,635.58,891.06,760.75
1982,922.7,1083.34,1016.97
1983,1249.1,1350.65,1268.25
1984,1183.47,1036.32,1163.01
1985,920.36,793.04,901.78
1986,518.0,700.18,761.23
1987,965.53,959.3,1062.84
1988,1048.17,1090.37,1274.54
1989,1262.25,1126.75,1224.94
