Human Resources and Employee Management,Training Hours,hours/employee
trend,stable_falling,exponential_falling,exponential_falling,exponential_rising,periodic_stable,exponential_falling,exponential_rising
Year,Research & Development,Sales Team,Human Resources,Engineering Department,Administrative Support,Management Team,Operations Staff
2009,19.8,19.82,19.52,19.87,20.81,19.81,20.22
2010,19.65,19.05,17.85,22.04,24.57,17.85,22.46
2011,18.72,16.7,15.73,24.09,22.85,16.1,24.53
2012,18.24,14.55,14.67,26.81,16.88,14.51,26.91
2013,17.89,12.93,12.66,29.56,15.25,13.52,29.93
2014,16.78,11.87,11.63,33.03,20.01,12.17,32.64
2015,16.75,11.41,11.03,35.17,24.88,10.55,35.55
2016,15.35,8.98,9.03,39.34,22.77,9.16,38.97
2017,15.19,8.85,8.21,43.12,16.91,8.43,43.03
2018,14.48,7.21,8.36,47.3,14.78,7.46,47.72
2019,13.08,7.14,7.44,52.11,20.02,7.04,51.88
2020,13.86,6.37,6.26,57.94,24.64,6.31,56.6
2021,12.84,5.8,5.14,61.75,22.56,5.39,63.0
2022,12.11,4.43,5.13,68.7,16.76,5.09,69.21
2023,11.76,4.52,5.01,75.38,15.6,4.56,76.25
2024,10.88,4.8,4.19,83.49,20.31,4.01,83.33
