Healthcare and Health,Patient Visits,visits/month
trend,periodic_stable,volatile_falling,exponential_rising,volatile_rising
Year,Lumina Clinic,Vitality Clinic,Aegis Medical Center,Meridian Health Post
1962,1008836.7,963051.36,1046791.28,972735.05
1963,1023038.73,962757.39,1085960.57,1108579.95
1964,941043.42,883277.1,1207504.69,1239008.24
1965,965067.12,832205.32,1297690.33,1204231.91
1966,1024152.92,743645.88,1470451.42,1294326.95
1967,933551.39,676716.36,1644148.75,1397432.95
1968,986762.66,647723.06,1804215.06,1418068.06
1969,1062763.07,612698.19,1934604.5,1555255.98
1970,956445.86,481296.93,2159844.36,1659502.45
1971,998140.37,484186.41,2340272.03,1631819.33
1972,999337.56,411962.03,2600263.04,1795224.76
1973,942694.21,287224.35,2801944.24,1905109.07
1974,982700.57,255468.5,3132542.87,2008063.97
1975,1024594.88,186648.96,3438567.06,2064606.21
1976,911598.33,196097.2,3798749.61,2152593.08
1977,1027630.24,130774.14,4175694.7,2192221.92
1978,1032706.77,20237.57,4619775.6,2302416.95
