Energy and Utilities,Electricity Demand,MWh
trend,exponential_rising,periodic_stable,stable_rising,exponential_rising,stable_rising,stable_rising,volatile_rising
Year,Stellar Grid Solutions,Zenith Utility Services,Borealis Electric Cooperative,Silverhaven Hydro Authority,Azure Energy Distribution,Aethelgard Power Grid,Meridian Energy Network
1989,1001236299.46,994173425.34,979708399.28,1000903399.13,1016255974.68,1002845158.3,941290189.9
1990,1097551124.84,1237422536.29,1061881269.72,1095497621.16,1049631223.03,1052291982.35,1104352359.32
1991,1203943819.57,1152804844.14,1103385708.05,1208855359.74,1128996283.74,1098623526.54,1180545676.74
1992,1341482362.0,858743453.93,1170767307.19,1339204359.43,1147236389.92,1164115027.55,1259429498.98
1993,1475985330.76,738621445.53,1205906148.77,1474604667.79,1176786460.36,1201722988.0,1358793129.2
1994,1601668855.3,1008137340.5,1272882510.59,1624263506.8,1237581417.32,1231779350.52,1391937339.17
1995,1796697745.78,1257402830.02,1310000611.1,1754751990.04,1309545067.01,1304442010.53,1468817989.43
1996,1957989217.75,1116397000.93,1313108817.61,1958167943.36,1348862818.14,1360380591.31,1576313959.28
