Healthcare and Health,Patient Visits,visits/month
trend,exponential_falling,stable_rising,exponential_falling,volatile_rising,periodic_stable,volatile_falling,exponential_falling
Year,Summit Health Annex,Serenity Wellness Hub,Lumina Clinic,Meridian Health Post,Vitality Clinic,Stellar Care Facility,Aegis Medical Center
1956,1000215.01,1003527.08,981414.84,1011044.15,970743.31,1037552.98,999607.67
1957,900039.07,1009979.23,895063.47,1073584.25,1014001.16,922906.82,916647.89
1958,823557.7,1087311.61,792166.31,1148088.36,947468.48,951913.55,786919.74
1959,729898.13,1145799.89,719460.25,1203470.54,997133.51,837136.04,694081.85
1960,676244.81,1211236.87,665506.0,1333211.47,1090949.27,757904.37,633329.83
1961,572334.2,1248016.8,612578.97,1399883.05,932083.16,711166.44,583155.79
1962,555395.05,1315962.05,534254.71,1495274.09,966072.09,613027.93,524727.62
1963,450746.13,1342825.17,466977.69,1541426.04,1067502.78,525785.77,470583.11
