Education and Academics,Research Funding,$
trend,volatile_falling,stable_rising,periodic_stable,volatile_rising,periodic_stable,volatile_rising
Year,Silverhaven Polytechnic,Arcane University,Borealis Graduate School,Aethelgard School of Arts,Celestial College,Zenith Institute of Technology
1997,505348.06,545859.31,517777.33,475214.3,508492.5,552974.96
1998,520352.59,523544.86,599077.45,551683.06,637620.69,489772.3
1999,535208.85,547677.57,557650.58,644401.28,579880.71,641037.69
2000,405676.62,568305.89,415189.9,638168.41,407461.59,584701.8
2001,363849.35,619870.3,376086.26,649720.07,419058.53,661237.13
2002,344169.7,655642.01,462710.49,610475.98,501090.69,677015.69
2003,308603.13,681592.02,602678.91,613486.51,599655.64,754053.49
2004,319191.03,636749.66,558618.99,784229.55,563010.74,786924.09
2005,286180.65,683268.23,428235.07,836016.08,433812.29,829220.84
2006,277916.57,750625.9,369705.59,818690.24,394560.57,864824.61
2007,152726.2,769398.73,484510.37,912348.41,504264.52,939342.89
2008,163570.7,784057.22,629195.52,968857.99,597580.6,924341.14
