Education and Academics,Student-Teacher Ratio,ratio
trend,exponential_falling,exponential_rising,exponential_falling
Year,Silverhaven Polytechnic,Meridian Academy,Zenith Institute of Technology
1969,20.06,19.87,19.89
1970,18.17,21.93,18.03
1971,16.3,24.24,16.26
1972,14.57,26.68,14.6
1973,13.19,29.3,13.01
1974,11.74,32.29,11.89
1975,10.54,35.52,10.84
1976,9.79,38.91,9.64
1977,8.86,42.86,8.67
1978,7.81,46.96,7.57
1979,6.92,52.27,7.09
1980,6.02,57.01,6.15
1981,5.59,62.97,5.59
1982,5.05,69.12,5.21
1983,4.7,75.98,4.64
1984,4.34,83.83,4.11
1985,3.86,91.96,3.75
1986,3.18,101.12,3.29
1987,3.12,111.25,3.1
1988,2.72,122.12,2.57
1989,2.48,134.46,2.11
1990,2.31,148.01,2.17
1991,1.98,162.78,1.95
1992,1.73,178.97,1.41
1993,1.35,197.17,1.67
1994,1.45,216.69,1.24
1995,1.33,238.61,1.16
1996,1.38,262.12,1.11
1997,0.93,288.77,0.9
1998,0.76,317.16,0.95
