Sports and Entertainment,Stadium Attendance,tickets/session
trend,exponential_rising,exponential_falling,volatile_falling,exponential_falling,periodic_stable
Year,Crimson Clash,Aether Cup Finals,Echo Bowl,Nova Games,Starfall Championship
2003,50875.61,49970.59,47571.06,49418.23,49008.92
2004,55924.0,45535.76,45442.05,43866.08,54183.41
2005,62336.97,40457.76,46118.98,40086.16,50006.54
2006,65137.09,33088.34,38665.1,36531.32,50711.62
2007,73620.58,34266.53,37908.73,33021.96,50048.13
2008,80629.81,29214.24,31372.95,27144.11,51346.49
2009,91182.72,28483.46,31524.57,25351.54,50399.24
2010,95181.76,24751.24,29816.68,22888.29,48380.39
