Education and Academics,Student Enrollment,students
trend,stable_rising,stable_falling,exponential_rising,periodic_stable,stable_rising,periodic_stable,stable_falling
Year,Celestial College,Borealis Graduate School,Silverhaven Polytechnic,Meridian Academy,Aethelgard School of Arts,Zenith Institute of Technology,Arcane University
1979,9976.09,9873.03,10108.56,10249.78,9861.28,9923.04,10194.0
1980,10448.36,9932.84,11314.04,12444.54,10579.7,12698.35,10198.26
1981,11056.22,9594.15,11960.36,11518.1,10874.43,11487.83,9432.47
1982,11527.88,9357.04,13156.82,8622.71,11319.24,8457.17,9157.62
1983,12064.03,8824.02,14552.79,7621.64,11842.26,7399.7,8535.32
1984,12390.74,8538.46,15917.66,9939.68,12663.75,10216.13,8377.56
1985,13165.17,8277.69,17792.32,12502.67,12948.25,12643.89,8337.91
1986,13664.95,7976.21,19549.69,11409.84,13318.81,11644.55,7872.81
1987,14141.05,7528.01,21643.37,8517.86,14124.4,8577.52,7543.48
1988,14690.67,7245.89,23717.39,7441.53,14629.5,7632.3,7251.73
1989,15244.29,6920.61,26201.42,10130.71,15071.44,9963.57,7059.61
1990,15598.33,6947.68,28306.21,12384.77,15379.72,12637.51,6893.93
