Healthcare and Health,Healthcare Expenditure,$
trend,exponential_falling,stable_falling,periodic_stable,periodic_stable
Year,Aethelgard Medical Board,Borealis Wellness Council,Azure Health Initiative,Meridian Healthcare Group (Public)
2000,957204761.28,1005704710.35,1013123313.41,996633629.54
2001,901244513.39,927638598.25,1179036094.15,1192243407.12
2002,800330369.92,933165217.0,1119195492.0,1168717417.31
2003,671509115.58,898325417.76,939922911.97,843928097.15
2004,645208543.96,857824069.06,780021368.9,775076702.44
2005,610603472.05,876828080.95,1035675210.34,1028539291.11
2006,525376125.4,853385752.09,1217819174.53,1249484575.07
2007,469322692.94,802446637.54,1131856663.51,1134258791.05
2008,417796298.19,762691072.59,884375338.41,823826647.74
2009,393599141.27,716636041.64,740033273.85,748348446.66
2010,410211789.64,711470213.37,983835847.81,976398047.12
2011,352059178.5,598737487.7,1213443953.32,1222065647.57
2012,282648152.36,643748401.11,1180200147.28,1129110712.6
2013,261955908.19,603934887.03,819047073.55,880184676.59
2014,270851324.08,584968929.42,753830808.6,773238253.56
2015,207027806.92,527781790.45,963468003.68,1005073821.75
2016,179525987.8,566780714.13,1273893435.8,1265583090.32
2017,186318925.92,466742125.01,1135383899.42,1157250865.65
2018,144765716.32,461857116.68,897276564.41,876883921.64
2019,159232481.39,413153552.27,760722287.35,809384661.16
2020,164049196.81,373820491.74,984208798.43,1031539818.54
