Agriculture and Food Production,Livestock Production,tons
trend,stable_rising,stable_rising,exponential_rising,stable_falling
Year,Sunstone Farms,Riverbend Plantation,Golden Harvest Cooperative,Whispering Willows Estate
1981,50129.72,52247.64,49435.95,49232.87
1982,52406.12,53708.44,55868.77,48662.04
1983,55197.02,55168.79,59787.94,46558.78
1984,58814.79,56318.25,67612.69,45304.58
1985,60885.75,61080.53,73522.98,44146.53
1986,62161.51,63886.05,80806.25,43251.55
1987,64527.88,64998.98,89126.26,41779.1
1988,68321.99,66892.54,97527.13,40411.6
1989,69847.1,70171.42,106756.03,39044.53
1990,72758.03,73392.06,117223.2,36108.1
1991,75765.82,74338.51,128278.81,33468.95
1992,78445.7,75337.48,142237.38,32825.25
1993,79140.69,81412.15,158143.6,32008.91
1994,82957.24,82360.57,172589.6,29262.86
1995,84329.46,84400.02,191051.83,28733.85
1996,89148.57,88153.08,208637.94,27851.54
1997,90433.11,89965.12,230956.42,25664.16
1998,91096.94,92894.09,254665.87,24743.67
1999,95687.96,94906.49,278960.02,24250.36
2000,97069.79,97138.31,305540.85,22231.67
2001,99466.34,99574.9,336001.23,19485.75
2002,102496.35,102005.13,371209.69,19436.46
2003,103952.06,106359.89,407667.33,17102.23
2004,107941.89,107529.7,448333.71,16242.21
2005,108577.59,109411.69,490643.62,12012.35
