Transportation and Logistics,Cargo Shipments,tons/month
trend,stable_rising,exponential_rising,exponential_falling
Year,Continental Freight,Oceanic Carriers,Parcel Services
1971,95801.37,94962.66,94293.23
1972,102996.48,114215.25,89640.61
1973,110121.69,124246.43,88386.28
1974,104655.84,148637.13,72753.16
1975,124802.74,145424.67,55176.39
1976,122731.42,157009.98,65527.93
1977,135447.96,186321.6,58040.39
1978,130219.8,200805.96,50157.02
1979,137752.45,213554.12,48648.73
1980,140941.15,231114.89,53175.11
1981,145650.86,271779.7,33757.07
1982,155406.46,280268.16,25480.29
1983,154602.47,306829.24,11253.89
1984,153148.07,354253.56,25477.11
1985,173257.81,376298.16,22646.36
1986,172040.9,413246.26,21317.15
1987,178100.19,461221.47,9044.39
1988,182530.08,512401.53,16714.99
1989,192976.84,557011.3,15831.02
1990,195319.89,616387.26,15999.48
1991,200873.46,674870.39,13654.73
1992,213756.84,741721.0,5580.44
1993,211620.56,799075.65,11183.83
