Science and Engineering,Patent Applications,applications
trend,stable_rising,periodic_stable
Year,Oracle Systems,Starburst Enterprises
1993,4838.98,4966.05
1994,5014.22,5941.2
1995,5535.96,6052.25
1996,6303.65,4332.57
1997,6203.85,3930.94
1998,6287.35,4839.67
1999,6514.91,6169.49
2000,6605.9,5833.92
2001,6786.98,4280.23
2002,7247.46,3683.79
2003,7748.72,5110.49
2004,7705.54,5982.42
2005,7912.85,5685.12
2006,8026.85,4286.38
2007,8162.93,3814.19
2008,8974.78,5066.04
2009,9022.11,6011.86
2010,9193.82,5727.9
2011,9242.91,4606.25
2012,10013.38,3953.55
2013,9986.25,4707.79
2014,10389.65,6265.2
