Real Estate and Housing Market,Rental Yield,%
trend,stable_falling,stable_rising,exponential_falling,exponential_falling,volatile_falling,periodic_stable,volatile_rising
Year,Sunstone Lofts,Ironpeak Residences,Crystal Cove Villas,Skyline Towers,Green Valley Homes,Willow Creek Estates,Oceanview Condos
1981,5.96,6.02,5.87,5.99,5.93,6.02,5.96
1982,5.83,6.29,5.42,5.36,6.01,7.44,6.54
1983,5.65,6.56,4.82,5.01,5.14,6.93,6.97
1984,5.4,6.91,4.38,4.24,5.2,4.97,7.36
1985,5.35,7.12,4.05,4.02,4.74,4.43,7.86
1986,4.89,7.41,3.68,3.62,3.98,6.09,8.33
1987,4.91,7.81,3.07,3.24,3.92,7.49,9.06
1988,4.63,8.09,2.9,2.84,3.22,6.84,9.47
1989,4.56,8.43,2.56,2.55,3.21,5.19,10.05
1990,4.31,8.67,2.28,2.3,2.76,4.54,10.43
