Agriculture and Food Production,Agricultural Exports,$
trend,stable_rising,periodic_stable,periodic_stable
Year,Meridian Trade Hub,Port of Aethelgard,Borealis Shipping Co.
1966,9592032.76,10240540.27,10243242.16
1967,10401484.53,12773412.71,11800859.21
1968,10889915.14,11365689.15,11133161.07
1969,11366699.3,8254042.54,8252243.99
1970,12015741.67,7686995.93,7902392.36
1971,13099470.32,10441150.27,9782197.35
1972,12892664.04,12688732.71,12390761.88
1973,13278915.69,11674466.27,11424292.21
1974,13601735.61,8847786.49,8418548.7
1975,14335824.38,7992634.86,7371620.35
1976,15282666.06,9905526.77,10196934.19
1977,15318552.29,12269809.87,12853980.12
1978,16360068.63,11633970.37,11472034.93
1979,16464870.74,8774711.64,8769922.01
1980,17571856.77,7383811.26,7664603.83
1981,17508540.38,9979538.32,9442216.04
1982,18088667.49,12144322.04,11991549.26
1983,18193326.18,11379802.8,11420306.64
