Social Media and Digital Media and Streaming,Daily Active Users,users
trend,volatile_falling,exponential_falling
Year,Luminara,CrimsonLink
1972,931375760.53,911894229.43
1973,875109262.75,817798584.36
1974,934815391.28,857003186.2
1975,906424189.86,771388686.38
1976,779165352.36,658333470.83
1977,654924555.43,524332745.98
1978,722463108.37,549517049.52
1979,442015533.47,405706997.31
1980,721405605.53,446913954.43
1981,743154347.76,292780903.31
1982,148791501.61,342193026.37
1983,288285200.7,228508126.37
1984,428134802.14,225366043.51
1985,409548368.33,273653171.06
