Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,stable_falling,stable_falling,volatile_falling,stable_rising,volatile_falling
Year,Zephyr Gas Index,AquaSource Trading,Solara Power Futures,SkyFlow Water Index,GeoHeat Commodity
1978,2.04,1.92,1.91,2.06,2.05
1979,1.95,1.92,1.9,2.09,1.91
1980,1.86,1.9,1.77,2.14,1.76
1981,1.81,1.86,1.58,2.27,1.62
1982,1.71,1.77,1.62,2.52,1.43
1983,1.65,1.68,1.47,2.54,1.5
1984,1.67,1.65,1.34,2.53,1.18
1985,1.56,1.59,1.25,2.7,1.09
1986,1.58,1.51,0.9,2.79,1.09
1987,1.48,1.4,0.99,2.86,1.01
1988,1.3,1.39,0.82,2.97,0.84
1989,1.3,1.3,0.66,3.08,0.67
1990,1.27,1.31,0.51,3.3,0.52
1991,1.26,1.24,0.3,3.25,0.36
1992,1.08,1.18,0.41,3.35,0.3
1993,1.14,1.13,0.15,3.57,0.16
1994,1.02,1.02,0.2,3.66,0.07
