Human Resources and Employee Management,Cost per Hire,$
trend,periodic_stable,exponential_rising,stable_falling
Year,Verdant Ventures,Lumina Solutions,Meridian Dynamics
2007,4984.71,5148.02,4993.19
2008,6106.41,5537.37,4829.54
2009,5821.97,6015.22,4660.24
2010,4342.7,6728.45,4559.47
2011,3809.78,7179.78,4351.33
2012,4948.32,7949.7,4293.84
2013,6139.87,8971.26,4091.0
2014,5783.27,9692.45,4009.84
2015,4209.17,10771.11,3838.8
2016,3737.28,11660.53,3657.5
2017,4990.51,12996.67,3583.98
2018,6179.26,14202.0,3374.82
2019,5738.93,15710.2,3164.1
2020,4341.95,17198.47,3075.01
2021,3851.6,18964.6,3006.8
2022,5049.07,20943.72,2681.89
2023,6287.99,23053.45,2531.71
2024,5741.25,25204.57,2459.94
