Science and Engineering,R&D Investment,$
trend,periodic_stable,stable_falling
Year,Crimson Group,Aether Corp
1980,10227402.34,10508146.77
1981,12038076.26,9193409.53
1982,10616986.51,9900952.75
1983,9974373.6,9031493.14
1984,8001528.23,8992773.52
1985,10447467.92,8112547.67
1986,12662365.31,7829224.38
1987,10909611.45,7710575.82
1988,9200919.3,7561728.69
1989,7216115.12,7274806.89
1990,10867471.59,6830603.4
1991,12254953.39,6788617.08
1992,11511136.59,6139143.97
1993,8703569.99,6275197.4
1994,7017593.76,5490624.49
1995,10583795.42,5641330.14
1996,11683106.31,5870724.27
1997,11963667.67,5084270.47
1998,8126206.62,3919117.67
1999,7671686.31,4846769.24
2000,10291667.39,4835515.02
2001,13196669.34,3544299.11
2002,12131105.22,3744112.5
2003,9180655.5,2130864.34
