Education and Academics,Alumni Giving Rate,%
trend,periodic_stable,periodic_stable,volatile_rising,exponential_rising,periodic_stable
Year,Aethelgard Arts Circle,Silverhaven Polytechnic Fund,Celestial College Graduates,Arcane University Alumni Association,Meridian Academy Patrons
1996,9.95,9.92,10.22,9.69,9.89
1997,12.24,12.14,10.82,10.84,12.54
1998,11.62,11.59,11.8,11.96,11.55
1999,8.79,8.53,12.2,13.15,8.39
2000,7.64,7.6,13.99,14.51,7.72
2001,10.3,10.01,13.81,15.86,9.66
2002,12.18,12.49,14.91,17.96,12.1
2003,11.76,11.41,15.54,19.7,11.19
2004,8.27,8.65,16.58,21.6,8.63
2005,7.79,7.92,17.63,23.72,7.15
2006,10.09,9.86,18.1,26.29,10.16
2007,12.38,12.2,19.24,28.67,12.09
2008,11.52,11.21,19.8,31.34,11.4
2009,8.52,8.56,19.86,34.5,8.61
2010,7.71,7.24,21.29,38.17,7.98
2011,9.77,10.13,22.57,42.08,9.93
2012,12.46,12.35,23.01,46.04,12.6
2013,11.63,11.36,23.86,50.62,11.21
2014,8.43,8.7,24.62,55.78,8.52
2015,7.33,7.46,25.16,61.07,7.97
2016,10.07,9.79,26.89,67.46,9.98
2017,12.54,12.59,26.7,73.9,12.25
2018,11.34,11.42,27.86,81.21,11.69
2019,8.57,8.53,28.39,89.83,8.43
2020,7.86,7.75,28.55,98.71,7.5
2021,10.15,9.76,29.49,100,9.86
