Science and Engineering,Engineering Graduates,students
trend,volatile_rising,volatile_falling,stable_falling,exponential_falling,volatile_falling,exponential_rising,exponential_falling
Year,Luminara Academy,Nova Institute,Starburst College,Oracle Labs,Echo Research,Aether University,Crimson Foundation
1971,898.75,934.51,1006.65,1011.58,1063.26,1046.12,987.94
1972,1047.8,954.54,973.49,904.37,940.0,1121.32,893.54
1973,1164.55,965.56,928.94,798.66,856.07,1200.95,848.81
1974,1180.75,760.88,903.87,758.89,811.76,1309.22,744.87
1975,1279.3,752.34,885.38,651.34,700.32,1413.32,649.22
1976,1402.02,698.22,862.82,629.91,621.01,1595.35,550.63
1977,1453.94,557.49,825.49,536.14,684.61,1725.86,552.75
1978,1569.21,527.06,775.39,468.79,530.96,1944.84,480.95
1979,1605.5,445.61,766.24,435.98,451.36,2136.69,449.16
1980,1689.21,464.15,755.68,334.65,424.58,2315.54,388.17
1981,1777.57,425.48,708.94,327.92,347.81,2589.65,336.39
1982,1823.59,301.15,646.16,334.87,377.8,2875.47,316.36
1983,1934.78,227.56,639.21,267.15,269.11,3132.92,277.83
1984,2043.87,228.72,654.34,255.93,334.25,3483.38,271.85
1985,2007.73,114.61,587.95,224.84,189.66,3816.41,222.1
1986,2177.63,118.18,585.77,226.75,105.47,4138.93,215.79
1987,2250.99,148.37,502.89,176.07,32.15,4535.85,173.24
1988,2377.98,30.78,473.79,137.8,17.22,5038.03,166.21
1989,2478.75,10.0,440.88,145.39,10.0,5541.61,181.81
1990,2448.78,10.0,396.51,155.85,10.0,6073.38,150.67
1991,2617.79,10.0,418.28,116.53,10.0,6688.13,125.97
