Retail and E-commerce,In-Store Foot Traffic,visitors/day
trend,stable_falling,volatile_falling,exponential_falling,volatile_falling,periodic_stable
Year,Outlet Centers,Home Essentials,Fashion Boutiques,Tech Gadget Hubs,Pop-Up Shops
1995,19579.39,21227.76,19533.62,18046.14,20708.65
1996,19502.09,17846.69,17449.07,21955.69,25260.97
1997,19203.28,18002.41,12805.62,17645.47,20541.27
1998,19438.08,14321.61,14627.56,20098.79,18900.3
1999,18122.03,11365.45,13187.38,17445.6,16106.89
2000,19312.4,15139.44,10302.39,15130.47,20777.9
2001,17051.77,13299.07,11064.35,10569.64,23115.96
2002,14370.41,10219.59,8694.52,7831.85,22999.31
2003,15359.76,10774.59,7622.18,11472.53,18435.33
2004,14828.96,7142.23,7344.51,5969.88,14736.71
2005,13568.77,4240.76,6165.49,9096.33,20197.98
2006,13051.73,4722.44,5661.86,7542.09,27366.98
2007,12579.75,8541.53,4873.17,8712.52,22417.49
2008,13195.16,4913.0,7182.16,5507.05,18156.33
2009,11638.26,2779.39,5074.52,5282.06,15350.7
2010,11187.81,2838.44,4074.33,3934.75,21232.21
2011,11211.44,4680.5,2008.02,2805.15,23954.15
2012,10268.32,3578.24,4559.49,3197.18,23588.24
