Healthcare and Health, Medical Referral Flow, Patients, long_tail
Source,Target,Value
Commdata_unity Health Center,Emergency Medical Center,641
Emergency Medical Center,Commdata_unity Health Center,328
Commdata_unity Health Center,Geriatric Care Hospital,220
Geriatric Care Hospital,Commdata_unity Health Center,164
Commdata_unity Health Center,Maternal and Child Health Center,125
Maternal and Child Health Center,Commdata_unity Health Center,109
Emergency Medical Center,Geriatric Care Hospital,93
Geriatric Care Hospital,Emergency Medical Center,80
Geriatric Care Hospital,Maternal and Child Health Center,68
Maternal and Child Health Center,Geriatric Care Hospital,62
