Food and Beverage Industry, Restaurant Customer Flow, Customers, normal
Source,Target,Value
Danielle's Chicken,Parkershire Burger,29
Parkershire Burger,Danielle's Chicken,45
Parkershire Burger,World Donuts,73
World Donuts,Parkershire Burger,106
Danielle's Chicken,Cisnerosfurt Sandwich,141
Cisnerosfurt Sandwich,Danielle's Chicken,165
World Donuts,Christopher's Tacos,185
Christopher's Tacos,World Donuts,167
World Donuts,Cisnerosfurt Sandwich,136
Cisnerosfurt Sandwich,World Donuts,105
Danielle's Chicken,Christopher's Tacos,76
Christopher's Tacos,Danielle's Chicken,43
