Science and Engineering, Research Institution Collaboration Flow, Collaborations, long_tail
Source,Target,Value
Odonnell Laboratory,Adriantown College,130
Adriantown College,Odonnell Laboratory,66
Fleming-Rosario Academy,Adriantown College,40
Adriantown College,Fleming-Rosario Academy,32
Adriantown College,Alex Laboratory,24
Alex Laboratory,Adriantown College,21
Adriantown College,Royal Academy,19
Royal Academy,Adriantown College,15
Fleming-Rosario Academy,Royal Academy,14
Royal Academy,Fleming-Rosario Academy,13
Royal Academy,Alex Laboratory,11
Alex Laboratory,Royal Academy,10
