Retail and E-commerce, E-commerce Platform User Migration, Million Users, random
Source,Target,Value
Garcia Global,WeberGroupMart,161
WeberGroupMart,Garcia Global,187
WeberGroupMart,Potter.com,205
Potter.com,WeberGroupMart,60
WeberGroupMart,DuffyLLCOnline,138
DuffyLLCOnline,WeberGroupMart,91
Carter-RyanOnline,DuffyLLCOnline,28
DuffyLLCOnline,Carter-RyanOnline,63
Carter-RyanOnline,WeberGroupMart,243
WeberGroupMart,Carter-RyanOnline,109
Garcia Global,Carter-RyanOnline,33
Carter-RyanOnline,Garcia Global,145
